applicant_id,age,gender,marital_status,education_level,family_size,dependents,employment_type,monthly_income,district,urban_rural,land_ownership_acres,house_ownership,vehicle_ownership,livestock_count,bank_account,mobile_banking_user,mobile_payment_score,existing_loans,existing_debt_amount,electricity_payment_history,village_savings_member,guarantor_available,gn_recommendation,previous_mfi_loans,previous_default,loan_amount_requested,loan_purpose,loan_term_months,debt_to_income_ratio,loan_to_income_ratio,employment_stability_score,monthly_payment,payment_to_income_ratio,default
APP000011,31,Male,Married,Diploma,2,4,Casual,24818,Puttalam,Urban,1.0,Own,None,0,1,0,712,0,0,0,1,1,0,0,1,300000,Medical,48,0.0,12.088000644693368,0.0,8812.5,0.3550850189378677,1
APP000012,44,Male,Single,Grade 9-10,3,4,Self-Employed,57790,Galle,Urban,0.5,Own,Bicycle,0,1,1,717,0,0,25,1,0,0,1,0,150000,Debt Consolidation,48,0.0,2.5956047759127876,0.6944444444444444,4406.25,0.07624589029243814,0
APP000013,56,Male,Married,A/L Passed,2,4,Casual,37869,Matale,Rural,0.0,Own,Motorcycle,0,0,1,591,1,47261,4,0,1,1,1,0,25000,Wedding,48,1.2480128865298794,0.6601705880799599,0.1111111111111111,734.37,0.019392378990731204,1
APP000014,60,Male,Married,O/L Passed,6,0,Farmer,52421,Matara,Rural,0.0,Own,None,8,1,0,635,1,251146,34,0,1,1,0,0,150000,Education,48,4.79094256118731,2.8614486560729477,0.9444444444444444,4406.25,0.08405505427214284,1
APP000015,44,Male,Married,Grade 9-10,4,0,Self-Employed,88038,Polonnaruwa,Rural,1.0,Own,None,0,1,1,576,1,245511,12,1,0,0,0,0,500000,Housing,48,2.7886935187078308,5.679365728435449,0.3333333333333333,14687.5,0.1668313682727913,1
APP000016,23,Female,Married,O/L Passed,6,3,Self-Employed,82325,Ampara,Urban,0.75,Own,Motorcycle,0,1,1,704,1,34365,26,0,1,1,0,0,50000,Debt Consolidation,48,0.41743091406012756,0.6073489219556635,0.7222222222222222,1468.75,0.017840874582447618,1
APP000017,42,Female,Married,Grade 9-10,5,4,Daily Wage,26086,Ampara,Rural,2.0,Own,Motorcycle,0,1,1,606,0,0,11,0,1,1,0,1,500000,Debt Consolidation,12,0.0,19.16736947021391,0.3055555555555556,45840.0,1.757264433029211,1
APP000018,22,Female,Married,O/L Passed,7,1,Farmer,54171,Puttalam,Rural,0.75,Family,None,3,0,1,690,0,0,29,0,1,1,2,0,150000,Emergency,12,0.0,2.76900924849089,0.8055555555555556,13752.0,0.2538627679016448,0
APP000019,44,Male,Married,Diploma,6,3,Permanent,129539,Kegalle,Urban,1.0,Rent,Motorcycle,0,1,1,585,1,120127,31,0,1,0,1,0,50000,Emergency,24,0.9273423447764766,0.38598414377137386,0.8611111111111112,2496.21,0.019269949590470823,1
APP000020,64,Male,Married,O/L Passed,6,4,Farmer,31149,Batticaloa,Rural,0.75,Own,Three-wheeler,3,1,0,463,0,0,30,0,0,0,0,1,150000,Debt Consolidation,48,0.0,4.815563902532987,0.8333333333333334,4406.25,0.14145718963690648,1
APP000021,50,Female,Married,O/L Passed,7,0,Self-Employed,50394,Galle,Rural,0.5,Own,None,0,1,1,650,0,0,4,0,1,1,2,0,25000,Housing,18,0.0,0.4960908044608485,0.1111111111111111,1595.14,0.03165337143310712,0
APP000022,58,Male,Married,O/L Passed,5,1,Casual,29396,Matale,Rural,0.25,Own,Motorcycle,0,0,1,640,0,0,1,0,1,1,0,0,50000,Debt Consolidation,12,0.0,1.7009116886651245,0.027777777777777776,4584.0,0.15593958361681862,1
APP000023,22,Male,Married,Grade 5-8,3,3,Permanent,53324,Monaragala,Urban,2.0,Own,None,0,1,1,657,0,0,6,0,1,0,3,0,200000,Vehicle,24,0.0,3.7506563648638513,0.16666666666666666,9984.82,0.18724814342509938,0
APP000024,41,Male,Divorced,Grade 9-10,6,1,Self-Employed,67198,Kilinochchi,Urban,0.75,Own,None,0,1,1,657,0,0,0,1,1,1,1,0,150000,Vehicle,12,0.0,2.2322092919432124,0.0,13752.0,0.20464894788535373,0
APP000025,53,Male,Single,O/L Passed,2,4,Casual,32169,Jaffna,Rural,0.0,Own,None,0,1,0,484,0,0,2,1,1,1,2,0,150000,Vehicle,12,0.0,4.662874195654202,0.05555555555555555,13752.0,0.42749230625757717,1
APP000026,32,Male,Married,Grade 9-10,6,2,Casual,28864,Kegalle,Rural,0.0,Own,Bicycle,0,1,0,663,1,261486,19,0,0,1,0,0,500000,Wedding,48,9.059243348115299,17.322616407982263,0.5277777777777778,14687.5,0.508851856984479,1
APP000027,42,Male,Married,Grade 9-10,2,1,Farmer,44243,Polonnaruwa,Rural,0.0,Own,Three-wheeler,3,1,0,717,0,0,1,1,1,0,0,0,100000,Debt Consolidation,18,0.0,2.2602445584612254,0.027777777777777776,6380.58,0.14421671224826527,1
APP000028,64,Female,Divorced,O/L Passed,5,1,Farmer,49016,Monaragala,Urban,0.5,Own,None,4,1,0,702,1,163403,20,1,1,1,0,0,500000,Education,12,3.3336665578586584,10.20075077525706,0.5555555555555556,45840.0,0.9352048310755672,1
APP000029,45,Female,Married,Grade 9-10,6,0,Permanent,33194,Hambantota,Rural,0.0,Rent,Motorcycle,0,1,0,662,1,238130,31,0,1,1,0,0,300000,Vehicle,24,7.173886847020546,9.037777911670783,0.8611111111111112,14977.23,0.4512029282400434,1
APP000030,47,Female,Married,Grade 9-10,5,4,Permanent,62398,Colombo,Rural,0.0,Own,Bicycle,0,0,1,768,0,0,19,0,0,1,1,0,150000,Housing,48,0.0,2.403923202666752,0.5277777777777778,4406.25,0.07061524407833585,0
APP000031,62,Female,Single,O/L Passed,5,1,Farmer,22789,Anuradhapura,Urban,0.5,Own,None,7,0,0,485,0,0,30,0,1,1,0,0,100000,Medical,24,0.0,4.388081969371187,0.8333333333333334,4992.41,0.2190710430470841,1
APP000032,48,Female,Married,Grade 5-8,3,4,Permanent,115695,Colombo,Rural,0.0,Own,Motorcycle,0,1,1,707,0,0,32,0,0,0,1,0,150000,Emergency,6,0.0,1.2965123816932451,0.8888888888888888,26328.78,0.22757059509918318,0
APP000033,36,Female,Single,Diploma,6,0,Daily Wage,22638,Matara,Rural,1.0,Family,Motorcycle,0,1,1,641,0,0,23,1,1,0,1,0,75000,Education,36,0.0,3.3130135170951496,0.6388888888888888,2711.43,0.11977338987543068,0
APP000034,35,Female,Divorced,Diploma,2,4,Self-Employed,81134,Kalutara,Urban,0.25,Rent,Three-wheeler,0,1,0,650,1,165877,17,0,1,1,0,0,500000,Agriculture,12,2.044481968102152,6.162644514013854,0.4722222222222222,45840.0,0.5649912490447901,1
APP000035,64,Male,Married,A/L Passed,2,0,Casual,20350,Gampaha,Urban,0.5,Own,Three-wheeler,0,1,1,475,0,0,19,0,0,1,0,0,100000,Medical,48,0.0,4.914004914004914,0.5277777777777778,2937.5,0.14434889434889434,1
APP000036,23,Male,Married,Grade 5-8,6,0,Permanent,128837,Kandy,Rural,0.0,Family,Bicycle,0,1,1,672,0,0,31,1,1,1,2,0,25000,Education,12,0.0,0.19404363653298354,0.8611111111111112,2292.0,0.017789920597343932,0
APP000037,57,Male,Widowed,A/L Passed,7,3,Permanent,54977,Puttalam,Rural,0.0,Own,Motorcycle,0,1,0,624,0,0,4,1,1,1,0,0,25000,Wedding,24,0.0,0.4547356167124434,0.1111111111111111,1248.1,0.022702220928752022,1
APP000038,27,Female,Single,A/L Passed,3,4,Permanent,131967,Kilinochchi,Rural,0.25,Family,None,0,1,1,454,1,114591,1,0,1,0,0,0,50000,Medical,12,0.8683307190433972,0.3788825994377382,0.027777777777777776,4584.0,0.03473595671645184,1
APP000039,41,Female,Married,A/L Passed,3,2,Permanent,30129,Matale,Rural,1.0,Own,Motorcycle,0,0,1,532,0,0,25,1,1,0,1,0,200000,Debt Consolidation,48,0.0,6.638122738889442,0.6944444444444444,5875.0,0.19499485545487735,1
APP000040,29,Male,Single,Grade 5-8,3,3,Self-Employed,79683,Ratnapura,Urban,1.0,Own,Three-wheeler,0,1,0,716,1,159155,24,0,1,1,1,0,500000,Housing,24,1.9973520073290414,6.27486414919117,0.6666666666666666,24962.05,0.31326694527063487,1
APP000041,59,Female,Married,O/L Passed,2,0,Permanent,75331,Jaffna,Estate,0.0,Rent,None,0,0,1,610,1,153233,21,0,1,0,1,0,200000,Education,6,2.0341293756886274,2.6549494895859604,0.5833333333333334,35105.04,0.4660105401494737,1
APP000042,38,Male,Married,A/L Passed,5,2,Self-Employed,54626,Ratnapura,Rural,0.5,Own,Bicycle,0,1,1,705,0,0,21,1,1,1,2,0,500000,Agriculture,48,0.0,9.15315051440706,0.5833333333333334,14687.5,0.26887379636070735,0
APP000043,24,Female,Married,O/L Passed,7,1,Self-Employed,68503,Monaragala,Urban,0.0,Rent,Motorcycle,0,1,1,714,0,0,10,0,1,1,2,1,25000,Vehicle,12,0.0,0.3649475205465454,0.2777777777777778,2292.0,0.033458388683707284,1
APP000044,45,Male,Married,O/L Passed,3,1,Casual,42549,Matara,Rural,5.0,Own,Motorcycle,0,1,1,624,0,0,10,0,1,1,0,0,50000,Vehicle,48,0.0,1.1751157489012667,0.2777777777777778,1468.75,0.034519025123974714,0
APP000045,34,Male,Single,O/L Passed,2,3,Permanent,42342,Vavuniya,Urban,3.0,Rent,None,0,1,0,588,0,0,3,1,1,0,0,0,500000,Business,48,0.0,11.808606112134523,0.08333333333333333,14687.5,0.3468778045439516,1
APP000046,29,Male,Married,O/L Passed,2,2,Permanent,66417,Matale,Urban,0.5,Own,Car,0,1,1,744,0,0,32,1,0,0,1,0,25000,Wedding,6,0.0,0.37640965415480976,0.8888888888888888,4388.13,0.06606937982745381,0
APP000047,46,Male,Single,Grade 5-8,5,4,Permanent,106514,Mannar,Urban,0.75,Own,Motorcycle,0,1,1,671,0,0,17,1,1,1,1,0,100000,Housing,6,0.0,0.9388437200743565,0.4722222222222222,17552.52,0.16479073173479544,0
APP000048,22,Male,Divorced,O/L Passed,6,2,Farmer,55628,Vavuniya,Urban,1.0,Family,None,1,1,1,604,0,0,30,0,1,0,1,0,75000,Wedding,36,0.0,1.348241892572086,0.8333333333333334,2711.43,0.04874218019702308,1
APP000049,40,Male,Married,Grade 5-8,6,3,Casual,24412,Badulla,Rural,0.75,Family,None,0,1,0,478,1,155475,27,1,1,1,1,0,50000,Medical,24,6.368794035720137,2.0481730296575456,0.75,2496.21,0.10225339996722924,1
APP000050,48,Female,Widowed,O/L Passed,3,4,Farmer,26833,Matara,Rural,0.75,Family,Motorcycle,4,1,1,549,1,267017,21,1,1,0,1,0,75000,Housing,6,9.951067715126896,2.795065777214624,0.5833333333333334,13164.39,0.49060447955875225,1
APP000051,27,Female,Married,Grade 9-10,3,4,Self-Employed,80658,Batticaloa,Estate,3.0,Rent,None,0,1,1,510,1,126833,2,1,1,1,0,0,150000,Wedding,24,1.5724788613652707,1.8597039351335267,0.05555555555555555,7488.62,0.09284410721813087,1
APP000052,64,Male,Married,O/L Passed,7,1,Self-Employed,49473,Vavuniya,Rural,0.5,Rent,None,0,1,1,695,0,0,6,1,1,0,2,0,500000,Vehicle,36,0.0,10.10652274978271,0.16666666666666666,18076.2,0.36537505305924445,0
APP000053,28,Female,Married,Grade 5-8,5,2,Self-Employed,20737,Colombo,Rural,0.5,Own,Motorcycle,0,1,1,753,1,263958,19,0,1,1,0,1,500000,Business,24,12.728842166176399,24.11149153686647,0.5277777777777778,24962.05,1.2037445146356753,1
APP000054,55,Female,Married,A/L Passed,3,4,Farmer,47429,Badulla,Rural,1.0,Own,Motorcycle,1,1,1,692,0,0,6,0,1,1,2,0,150000,Business,48,0.0,3.1626220244997785,0.16666666666666666,4406.25,0.092902021969681,0
APP000055,34,Male,Married,A/L Passed,5,3,Casual,28879,Nuwara Eliya,Estate,0.75,Own,Motorcycle,0,1,1,589,0,0,6,0,0,1,1,0,75000,Agriculture,36,0.0,2.5970428338931404,0.16666666666666666,2711.43,0.09388933134803835,1
APP000056,37,Male,Married,Grade 9-10,2,1,Permanent,94054,Kilinochchi,Rural,0.75,Own,Bicycle,0,1,1,619,0,0,28,0,0,0,1,0,100000,Education,12,0.0,1.063219001850001,0.7777777777777778,9168.0,0.0974759180896081,0
APP000057,56,Male,Single,Grade 5-8,3,4,Self-Employed,21299,Vavuniya,Rural,0.0,Family,Motorcycle,0,0,0,647,0,0,25,1,0,0,0,0,75000,Business,36,0.0,3.5212920794403493,0.6944444444444444,2711.43,0.12730315977275927,1
APP000058,60,Male,Married,Grade 5-8,2,2,Casual,34864,Polonnaruwa,Rural,0.0,Own,Car,0,1,1,528,0,0,2,1,0,1,0,0,75000,Agriculture,36,0.0,2.151216154199174,0.05555555555555555,2711.43,0.07777162689307021,1
APP000059,24,Female,Married,Diploma,4,1,Self-Employed,85875,Anuradhapura,Urban,0.0,Family,None,0,1,0,596,1,297949,16,1,1,0,2,0,75000,Agriculture,36,3.469566229985444,0.8733624454148472,0.4444444444444444,2711.43,0.03157414847161572,1
APP000060,22,Male,Married,O/L Passed,5,2,Self-Employed,52920,Colombo,Rural,0.5,Own,Motorcycle,0,1,1,517,0,0,19,0,1,0,0,0,50000,Wedding,18,0.0,0.9448223733938019,0.5277777777777778,3190.29,0.060285147392290246,1
APP000061,26,Female,Single,O/L Passed,4,2,Self-Employed,74836,Kilinochchi,Rural,0.25,Rent,Three-wheeler,0,1,1,665,0,0,33,0,1,1,0,0,300000,Vehicle,6,0.0,4.008765834625047,0.9166666666666666,52657.56,0.7036394248757283,1
APP000062,62,Female,Married,Grade 5-8,3,2,Self-Employed,62381,Kilinochchi,Estate,10.0,Own,Motorcycle,0,0,0,670,0,0,32,0,1,0,0,0,50000,Debt Consolidation,24,0.0,0.8015261057052628,0.8888888888888888,2496.21,0.040015549606450686,0
APP000063,24,Male,Married,O/L Passed,2,1,Self-Employed,76298,Matara,Urban,0.5,Own,Motorcycle,0,1,1,690,1,104506,15,1,1,0,0,0,300000,Housing,48,1.3697082492332695,3.931951034103122,0.4166666666666667,8812.5,0.11550106162677921,1
APP000064,49,Female,Single,Diploma,3,4,Farmer,42509,Badulla,Rural,1.0,Family,None,7,1,1,655,1,241199,22,1,1,0,0,0,75000,Education,24,5.674069020677974,1.7643322590510244,0.6111111111111112,3744.31,0.08808275894516455,1
APP000065,38,Male,Married,A/L Passed,4,0,Farmer,19373,Kalutara,Rural,0.0,Own,Motorcycle,0,1,1,648,1,259744,3,1,1,0,0,0,200000,Business,18,13.407525938161358,10.323646311877354,0.08333333333333333,12761.16,0.6587085118463841,1
APP000066,46,Female,Married,O/L Passed,3,4,Self-Employed,92618,Puttalam,Urban,1.0,Own,Motorcycle,0,0,1,495,0,0,32,0,1,1,1,0,100000,Business,12,0.0,1.079703729296681,0.8888888888888888,9168.0,0.09898723790191971,0
APP000067,64,Male,Married,Grade 5-8,7,1,Farmer,43532,Mannar,Rural,0.5,Own,Motorcycle,6,1,1,491,1,20468,7,1,1,0,1,0,500000,Agriculture,48,0.4701828539924653,11.485803546816136,0.19444444444444445,14687.5,0.33739547918772395,1
APP000068,54,Female,Single,Grade 5-8,6,0,Daily Wage,21893,Nuwara Eliya,Urban,0.75,Own,Car,0,1,1,603,0,0,4,0,1,1,2,0,150000,Education,6,0.0,6.851505047275385,0.1111111111111111,26328.78,1.2026117937240213,1
APP000069,30,Female,Married,Grade 5-8,4,0,Self-Employed,80285,Monaragala,Rural,0.0,Own,None,0,1,1,710,1,21135,32,0,1,0,0,1,150000,Housing,6,0.26324967303979574,1.8683440244130285,0.8888888888888888,26328.78,0.3279414585539017,1
APP000070,56,Male,Married,Grade 9-10,3,0,Self-Employed,38866,Matara,Rural,0.5,Rent,None,0,1,1,573,1,231453,24,0,1,1,0,0,500000,Wedding,6,5.955153604693048,12.864714660628827,0.6666666666666666,87762.61,2.2580818710441,1
APP000071,34,Female,Married,Grade 5-8,2,3,Farmer,25593,Matale,Rural,0.5,Own,None,2,1,0,600,0,0,6,0,0,0,0,0,150000,Medical,6,0.0,5.860977611065525,0.16666666666666666,26328.78,1.0287492673777985,1
APP000072,51,Female,Married,Grade 9-10,3,1,Self-Employed,29495,Jaffna,Rural,0.5,Own,Motorcycle,0,1,0,601,1,161227,6,1,1,1,1,0,500000,Vehicle,18,5.466248516697745,16.952025767079167,0.16666666666666666,31902.89,1.0816372266485845,1
APP000073,35,Female,Single,O/L Passed,2,3,Permanent,145058,Badulla,Rural,2.0,Own,None,0,1,0,465,0,0,32,1,1,1,0,0,25000,Vehicle,24,0.0,0.17234485516138373,0.8888888888888888,1248.1,0.00860414454907692,0
APP000074,28,Female,Married,Diploma,6,0,Daily Wage,19837,Ampara,Urban,1.5,Rent,Motorcycle,0,1,1,594,0,0,32,0,1,1,1,0,100000,Agriculture,12,0.0,5.041084841457882,0.8888888888888888,9168.0,0.4621666582648586,0
APP000075,34,Female,Married,O/L Passed,3,3,Permanent,106708,Mannar,Urban,3.0,Rent,Bicycle,0,1,1,595,1,236099,28,0,0,0,0,0,50000,Vehicle,48,2.21257075383289,0.4685684297334783,0.7777777777777778,1468.75,0.013764197623420925,1
APP000076,43,Male,Single,A/L Passed,6,3,Farmer,36680,Trincomalee,Urban,0.75,Own,Bicycle,3,1,1,661,0,0,31,0,1,0,0,0,150000,Housing,48,0.0,4.089422028353326,0.8611111111111112,4406.25,0.12012677208287895,0
APP000077,60,Male,Married,A/L Passed,4,1,Farmer,48346,Nuwara Eliya,Urban,3.0,Own,None,7,0,1,596,1,76036,28,0,1,0,0,0,50000,Vehicle,12,1.5727464526537873,1.0342117238241013,0.7777777777777778,4584.0,0.0948165308401936,1
APP000078,41,Female,Married,Grade 5-8,2,2,Pensioner,38412,Hambantota,Rural,1.0,Own,Three-wheeler,0,1,1,582,0,0,21,1,0,1,2,0,50000,Medical,12,0.0,1.3016765594085182,0.5833333333333334,4584.0,0.11933770696657295,0
APP000079,36,Male,Married,A/L Passed,7,3,Permanent,118399,Jaffna,Rural,0.0,Rent,Motorcycle,0,1,1,634,1,139729,1,0,1,0,0,0,50000,Business,18,1.1801535485941603,0.4223008640275678,0.027777777777777776,3190.29,0.026945244469970184,1
APP000080,38,Female,Single,Grade 9-10,4,3,Self-Employed,50804,Anuradhapura,Urban,0.25,Rent,Three-wheeler,0,0,1,567,1,294134,8,0,1,1,2,0,200000,Debt Consolidation,18,5.789583497362412,3.9366978978033225,0.2222222222222222,12761.16,0.25118415872765926,1
APP000081,44,Female,Married,O/L Passed,2,0,Self-Employed,85206,Mullaitivu,Urban,0.0,Family,Motorcycle,0,1,1,463,1,163063,28,0,1,1,2,1,50000,Education,36,1.9137502053845974,0.5868131352252188,0.7777777777777778,1807.62,0.021214703189916202,1
APP000082,46,Male,Married,Grade 9-10,6,0,Casual,25934,Mullaitivu,Rural,0.0,Own,None,0,0,0,665,0,0,32,0,0,0,0,0,75000,Business,18,0.0,2.891956504974165,0.8888888888888888,4785.43,0.18452340556798028,1
APP000083,45,Male,Married,Degree,5,0,Permanent,60723,Trincomalee,Rural,0.0,Own,None,0,1,1,586,0,0,9,0,1,0,3,0,50000,Medical,6,0.0,0.8234112280355055,0.25,8776.26,0.1445294204831777,0
APP000084,61,Female,Single,Grade 9-10,3,4,Self-Employed,40405,Kegalle,Estate,0.0,Own,Car,0,1,1,553,1,187117,27,1,1,1,0,0,25000,Wedding,24,4.631035762900631,0.6187353050365054,0.75,1248.1,0.030889741368642493,1
APP000085,49,Male,Married,Grade 9-10,6,3,Self-Employed,38748,Ampara,Rural,0.75,Own,Motorcycle,0,0,1,607,1,29134,11,1,1,0,0,0,50000,Medical,12,0.7518839682048105,1.2903891813771033,0.3055555555555556,4584.0,0.11830288014865284,1
APP000086,35,Female,Married,Diploma,2,0,Permanent,100766,Kandy,Rural,0.25,Own,None,0,0,1,538,0,0,21,0,1,1,0,0,150000,Medical,18,0.0,1.4885973443423377,0.5833333333333334,9570.87,0.09498114443363834,0
APP000087,21,Male,Married,Grade 5-8,2,1,Self-Employed,66413,Gampaha,Urban,0.0,Own,Motorcycle,0,1,0,550,0,0,5,0,1,1,0,1,50000,Debt Consolidation,24,0.0,0.7528646499932242,0.1388888888888889,2496.21,0.03758616535919172,1
APP000088,45,Female,Married,A/L Passed,2,4,Farmer,40354,Ampara,Rural,1.0,Rent,Bicycle,2,1,1,791,1,60464,22,0,1,0,0,0,150000,Vehicle,6,1.4983396937106606,3.717103632849284,0.6111111111111112,26328.78,0.6524453585765971,1
APP000089,27,Male,Married,A/L Passed,2,2,Farmer,26954,Colombo,Urban,1.0,Own,Bicycle,6,1,1,633,1,94073,33,0,1,1,0,0,50000,Debt Consolidation,18,3.49013133486681,1.8550122430808043,0.9166666666666666,3190.29,0.11836054017956518,1
APP000090,29,Female,Married,A/L Passed,3,3,Daily Wage,24254,Kalutara,Urban,3.0,Rent,None,0,1,0,484,1,141680,15,0,1,1,0,0,100000,Agriculture,18,5.841510678650944,4.123031252576895,0.4166666666666667,6380.58,0.2630733074956708,1
APP000091,44,Male,Married,Degree,4,3,Self-Employed,37388,Monaragala,Urban,0.5,Own,Three-wheeler,0,1,1,391,1,220495,9,1,1,0,1,0,75000,Wedding,24,5.897480475018723,2.0059912271317,0.25,3744.31,0.10014737348881994,1
APP000092,21,Female,Married,Degree,7,1,Pensioner,36021,Kilinochchi,Rural,0.25,Family,None,0,1,0,700,0,0,20,1,1,0,0,0,150000,Wedding,48,0.0,4.164237528108603,0.5555555555555556,4406.25,0.12232447738819022,1
APP000093,64,Male,Married,Grade 5-8,5,2,Daily Wage,24648,Ampara,Rural,0.0,Family,None,0,1,1,468,1,261684,9,0,0,1,0,0,25000,Emergency,48,10.61684518013632,1.0142810775722169,0.25,734.37,0.029794303797468353,1
APP000094,28,Female,Married,A/L Passed,3,2,Casual,17755,Kurunegala,Urban,0.0,Family,Bicycle,0,1,0,515,1,126685,10,0,1,1,1,0,50000,Debt Consolidation,6,7.135173190650521,2.8161081385525204,0.2777777777777778,8776.26,0.4942979442410589,1
APP000095,44,Female,Divorced,O/L Passed,2,4,Permanent,82776,Batticaloa,Rural,0.0,Rent,None,0,1,1,608,0,0,20,0,1,0,1,0,150000,Emergency,18,0.0,1.812119454914468,0.5555555555555556,9570.87,0.11562373151638157,1
APP000096,31,Male,Married,O/L Passed,3,3,Self-Employed,39116,Hambantota,Rural,0.25,Rent,Motorcycle,0,1,1,508,0,0,24,0,0,0,1,1,200000,Agriculture,24,0.0,5.112997238981491,0.6666666666666666,9984.82,0.25526178545863587,1
APP000097,37,Male,Married,Grade 5-8,6,0,Self-Employed,92009,Mannar,Rural,10.0,Own,None,0,1,0,592,0,0,33,1,1,0,2,0,300000,Education,6,0.0,3.2605505983110348,0.9166666666666666,52657.56,0.572308795878664,0
APP000098,28,Male,Married,A/L Passed,7,1,Self-Employed,96620,Kurunegala,Urban,0.0,Own,Bicycle,0,1,1,544,1,163478,30,0,1,1,1,0,500000,Agriculture,18,1.6919685365348789,5.17491202649555,0.8333333333333334,31902.89,0.3301892982819292,1
APP000099,55,Female,Married,Degree,2,1,Self-Employed,64771,Matale,Rural,0.0,Rent,Three-wheeler,0,1,1,661,1,268151,26,0,1,0,1,0,500000,Business,48,4.139985487332294,7.719504099056676,0.7222222222222222,14687.5,0.22676043290978987,1
APP000100,55,Female,Married,Diploma,5,1,Farmer,46756,Ratnapura,Estate,0.0,Rent,Bicycle,0,1,0,614,1,233895,24,1,1,0,0,0,75000,Wedding,18,5.002459577380443,1.604072204636838,0.6666666666666666,4785.43,0.10234900333647019,1
APP000101,53,Female,Married,O/L Passed,2,1,Self-Employed,22919,Matara,Urban,0.75,Family,Bicycle,0,1,0,743,1,95105,31,1,0,1,0,0,200000,Emergency,12,4.149613857498146,8.726384222697325,0.8611111111111112,18336.0,0.8000349055368908,1
APP000102,25,Male,Married,Grade 5-8,7,0,Permanent,53550,Kalutara,Urban,0.0,Own,Bicycle,0,1,1,795,0,0,10,0,1,1,1,0,50000,Housing,36,0.0,0.9337068160597572,0.2777777777777778,1807.62,0.033755742296918766,0
APP000103,62,Male,Married,O/L Passed,5,0,Daily Wage,15756,Gampaha,Urban,0.25,Own,Motorcycle,0,1,0,474,1,175371,25,0,1,1,1,0,75000,Debt Consolidation,6,11.13042650418888,4.76009139375476,0.6944444444444444,13164.39,0.835515993907083,1
APP000104,59,Female,Married,A/L Passed,7,4,Casual,36838,Kegalle,Urban,0.0,Rent,Three-wheeler,0,1,1,537,1,57043,35,0,0,1,1,1,25000,Medical,24,1.5484825451978934,0.6786470492426299,0.9722222222222222,1248.1,0.03388077528638905,1
APP000105,61,Male,Married,A/L Passed,5,3,Pensioner,18283,Puttalam,Rural,0.25,Family,None,0,0,1,815,0,0,32,0,1,0,1,0,150000,Business,12,0.0,8.204342832139146,0.8888888888888888,13752.0,0.7521741508505169,1
